state,Total,EV,PHEV,HEV,Gasoline,EV_Percentage,PHEV_Percentage,HEV_Percentage,Gasoline_Percentage
Alabama,4806900,13000,5800,63300,4102200,0.27,0.12,1.32,85.34
Alaska,554700,2700,900,10600,454300,0.49,0.16,1.91,81.9
Arizona,6464800,89800,25600,175700,5469000,1.39,0.4,2.72,84.6
Arkansas,2698000,7100,3200,37000,2246100,0.26,0.12,1.37,83.25
California,36842400,1256600,410700,1703200,31191900,3.41,1.11,4.62,84.66
Colorado,5395300,90100,37500,152700,4508800,1.67,0.7,2.83,83.57
Connecticut,2924800,31600,18400,75300,2612600,1.08,0.63,2.57,89.33
Delaware,909600,8400,3800,22900,791300,0.92,0.42,2.52,86.99
"District of Columbia",311500,8100,3700,18100,262500,2.6,1.19,5.81,84.27
Florida,18487100,254900,57300,414500,16136500,1.38,0.31,2.24,87.29
Georgia,9565500,92400,22700,175300,8256400,0.97,0.24,1.83,86.31
Hawaii,1076400,25600,7300,36400,951000,2.38,0.68,3.38,88.35
Idaho,1943000,8500,4600,43700,1568600,0.44,0.24,2.25,80.73
Illinois,9983600,99600,33400,285400,8560300,1,0.33,2.86,85.74
Indiana,6113600,26100,12900,119100,5166200,0.43,0.21,1.95,84.5
Iowa,3095800,9000,6100,57200,2545400,0.29,0.2,1.85,82.22
Kansas,2605000,11300,5600,50400,2168600,0.43,0.21,1.93,83.25
Kentucky,4015300,11600,5600,67100,3415000,0.29,0.14,1.67,85.05
Louisiana,3755100,8200,4000,40200,3142800,0.22,0.11,1.07,83.69
Maine,1228100,7400,7600,33600,1036100,0.6,0.62,2.74,84.37
Maryland,5028500,72100,31300,168700,4327800,1.43,0.62,3.35,86.07
Massachusetts,5461100,73800,43800,187300,4791300,1.35,0.8,3.43,87.74
Michigan,8476000,50300,29100,148100,7129600,0.59,0.34,1.75,84.12
Minnesota,5094000,37100,16100,124500,4219200,0.73,0.32,2.44,82.83
Mississippi,2714800,3600,2000,28200,2275600,0.13,0.07,1.04,83.82
Missouri,5588400,26900,13900,113900,4608600,0.48,0.25,2.04,82.47
Montana,1010900,4600,2500,21100,780700,0.46,0.25,2.09,77.23
Nebraska,1945900,6900,3800,32600,1600400,0.35,0.2,1.68,82.24
Nevada,2535800,47400,10600,69600,2169300,1.87,0.42,2.74,85.55
"New Hampshire",1371400,9900,6600,36800,1185300,0.72,0.48,2.68,86.43
"New Jersey",7287700,134800,40900,174200,6433000,1.85,0.56,2.39,88.27
"New Mexico",1929500,10300,4900,44300,1597600,0.53,0.25,2.3,82.8
"New York",11239500,131300,92300,314000,9905500,1.17,0.82,2.79,88.13
"North Carolina",9013800,70200,23700,210600,7764000,0.78,0.26,2.34,86.13
"North Dakota",790200,1000,800,8200,625300,0.13,0.1,1.04,79.13
Ohio,10256400,50400,24000,199800,8881400,0.49,0.23,1.95,86.59
Oklahoma,4242900,22800,33000,56400,3567500,0.54,0.78,1.33,84.08
Oregon,3781700,64400,28800,156900,3074300,1.7,0.76,4.15,81.29
Pennsylvania,10169200,70200,38900,245400,8886400,0.69,0.38,2.41,87.39
"Rhode Island",871600,6400,5100,22100,782000,0.73,0.59,2.54,89.72
"South Carolina",4997500,20900,9000,83100,4325000,0.42,0.18,1.66,86.54
"South Dakota",904700,1700,1300,11900,718300,0.19,0.14,1.32,79.4
Tennessee,6501100,33200,11000,113300,5620500,0.51,0.17,1.74,86.45
Texas,25674800,230100,55300,445100,21392800,0.9,0.22,1.73,83.32
Utah,3050200,40000,13000,83200,2499600,1.31,0.43,2.73,81.95
Vermont,588100,7800,5700,20300,496000,1.33,0.97,3.45,84.34
Virginia,7693300,84900,26800,229400,6670000,1.1,0.35,2.98,86.7
Washington,6769400,152100,41200,307200,5583000,2.25,0.61,4.54,82.47
"West Virginia",1495700,2800,1800,22400,1281500,0.19,0.12,1.5,85.68
Wisconsin,5502600,24900,12500,123600,4604700,0.45,0.23,2.25,83.68
Wyoming,639200,1100,800,8400,489100,0.17,0.13,1.31,76.52
